N,time_search,time_binsearch
100,0.2569,29
10100,24.9774,80.07
20100,49.0213,76.53
30100,72.9157,73.92
40100,96.5835,87.6
50100,114.519,81.8
60100,143.622,85.57
70100,166.309,89.42
80100,198.821,88.41
90100,238.1,91.65
100100,227.284,80.78
110100,258.837,85.94
120100,268.998,84.07
130100,283.181,80.85
140100,315.849,89.01
150100,325.762,86.24
160100,348.43,86.24
170100,373.848,87.01
180100,395.054,87.6
190100,417.101,87
200100,459.428,86.76
210100,484.006,126.64
220100,523.475,86.25
230100,511.183,88.06
240100,521.195,113.6
250100,544.269,86.3
260100,565.7,86.63
270100,588.284,92.32
280100,607.604,92.38
290100,626.824,92.21
300100,664.206,92.5
310100,686.929,93.23
320100,719.854,91.62
330100,724.011,91.73
340100,740.445,91.76
350100,758.096,91.48
360100,814.197,92.65
370100,802.235,92.2
380100,825.824,92.55
390100,847.596,91.91
400100,868.111,105.33
410100,892.34,93.57
420100,909.916,91.58
430100,965.109,91.32
440100,954.766,92.26
450100,996.775,94.19
460100,1006.33,92.26
470100,1056.63,94.84
480100,1040.34,92.46
490100,1059.8,95.85
