N,time_ravnomerno,time_ne_ravnomerno
100,0.2147,0.3589
10100,14.8305,27.9134
20100,30.681,48.9489
30100,43.0093,77.3817
40100,54.2998,97.2012
50100,68.9684,120.312
60100,84.741,159.93
70100,97.4172,170.953
80100,109.114,191.4
90100,122.057,215.551
100100,135.357,239.288
110100,148.922,261.132
120100,164.661,283.087
130100,177.081,308.584
140100,189.53,332.12
150100,203.786,355.391
160100,216.713,379.156
170100,231.244,402.544
180100,244.632,424.229
190100,256.407,446.503
200100,274.289,472.512
210100,290.543,496.393
220100,300.545,519.4
230100,314.531,547.122
240100,329.255,565.153
250100,345.425,590.183
260100,355.583,612.741
270100,371.453,638.552
280100,384.031,664.593
290100,400.662,685.299
300100,411.834,712.247
310100,426.666,735.227
320100,437.895,760.85
330100,449.184,779.625
340100,465.754,803.804
350100,480.984,831.969
360100,493.975,878.318
370100,610.041,1021.05
380100,581.24,1008.5
390100,606.186,1051.91
400100,588.618,1014.3
410100,598.468,1023.88
420100,588.982,999.603
430100,585.606,1024.31
440100,596.98,1041.78
450100,615.138,1061.59
460100,630.422,1093.14
470100,643.229,1106.54
480100,657.349,1128.99
490100,672.928,1159.08
