N,time_ravnomerno,time_ne_ravnomerno
100,0.2114,0.375
10100,14.6556,25.6246
20100,29.7373,48.8599
30100,41.3305,72.8645
40100,53.9205,100.192
50100,69.0074,128.253
60100,84.8095,144.723
70100,97.8034,166.856
80100,108.54,192.102
90100,122.052,213.644
100100,136.4,239.785
110100,148.861,261.275
120100,165.873,301.601
130100,188.447,320.996
140100,191.945,333.817
150100,203.475,354.586
160100,217.891,377.894
170100,242.701,413.672
180100,247.762,424.162
190100,263.944,461.082
200100,275.19,474.285
210100,289.262,497.373
220100,300.135,518.398
230100,315.505,545.456
240100,329.741,565.781
250100,339.632,590.065
260100,354.941,613.269
270100,370.098,667.746
280100,383.877,693.927
290100,400.864,685.093
300100,412.428,709.643
310100,431.797,755.844
320100,438.7,763.107
330100,447.125,781.633
340100,493.81,809.373
350100,482.108,833.073
360100,504.688,857.849
370100,517.265,872.332
380100,519.349,891.555
390100,531.535,923.7
400100,547.012,979.557
410100,559.461,971.138
420100,576.62,1000.32
430100,587.423,1023.11
440100,596.38,1041.08
450100,638.228,1072.45
460100,637.647,1090.31
470100,643.138,1131.94
480100,686.676,1177.25
490100,693.865,1175.2
