N,time_ravnomerno,time_ne_ravnomerno
100,0.221,0.3822
10100,14.8809,26.8905
20100,29.9122,49.9934
30100,42.645,75.608
40100,54.8495,96.7921
50100,74.1,126.968
60100,82.7454,146.625
70100,94.6784,170.145
80100,109.675,195.044
90100,123.18,220.602
100100,137.061,244.243
110100,150.726,268.372
120100,164.547,291.17
130100,178.803,317.233
140100,189.443,342.832
150100,204.077,365.058
160100,218.385,389.432
170100,230.719,415.577
180100,245.532,438.163
190100,258.447,459.034
200100,274.229,488.586
210100,290.846,512.22
220100,299.141,535.822
230100,316.136,564.316
240100,332.176,583.17
250100,339.533,609.101
