N,time,number of swaps
100,64710,1547
1100,61293,15470
2100,61497,28215
3100,61719,43611
4100,63215,61340
5100,61470,80587
6100,62234,110124
7100,62141,133316
8100,62852,165834
9100,62735,198238
10100,63534,235450
11100,64273,280408
12100,63686,329687
13100,65176,372492
14100,65966,425877
15100,64815,467662
16100,80315,538677
17100,69315,594390
18100,72030,657972
19100,66677,721850
20100,69660,799279
21100,69069,870512
22100,69690,952682
23100,72784,1075410
24100,69589,1142494
25100,74596,1232082
26100,75073,1319648
27100,73519,1409794
28100,79632,1526686
29100,75869,1607929
30100,74632,1712764
31100,95943,1778724
32100,81494,1781266
33100,82691,1783927
34100,74731,1783907
35100,76606,1793713
36100,81195,1787394
37100,86463,1798733
38100,74309,1798931
39100,80413,1804495
40100,78459,1797090
41100,75353,1802442
42100,81565,1796084
43100,83275,1824400
44100,78978,1800270
45100,83552,1810609
46100,78952,1806481
47100,80666,1832405
48100,82350,1816143
49100,77675,1815924
50100,82103,1806285
51100,76870,1830113
52100,78812,1803266
53100,77676,1808555
54100,83626,1825924
55100,78668,1818357
56100,82263,1846766
57100,76659,1817530
58100,79818,1857474
59100,75196,1850653
60100,75269,1864799
61100,101549,1847175
62100,76303,1871834
63100,82837,1852464
64100,79824,1888551
65100,90029,1828883
66100,74734,1822705
67100,79269,1830552
68100,105770,1832865
69100,105341,1843769
70100,94191,1839191
71100,80998,1816096
72100,76845,1828797
73100,79603,1813729
74100,104308,1857843
75100,100105,1822581
76100,80014,1840515
77100,83395,1899434
78100,77555,1901083
79100,102979,1891876
80100,81530,1891635
81100,84801,1890821
82100,80427,1864923
83100,82724,1853108
84100,101634,1845078
85100,77862,1915051
86100,95905,1865400
87100,87446,1846387
88100,78554,1848408
89100,77834,1841869
90100,92943,1889137
91100,95721,1861866
92100,75479,1839735
93100,80133,1878461
94100,83129,1885266
95100,78915,1855206
96100,83640,1845275
97100,143466,1848121
98100,81955,1880927
99100,76305,1837921
100100,80238,1911298
101100,84225,1935071
102100,117453,1918111
103100,94097,1868509
104100,112135,1879904
105100,84961,1851939
106100,92984,1978904
107100,79612,1859329
108100,75653,1887277
109100,77990,1903949
110100,97296,1962899
111100,76009,1929639
112100,83898,1893924
113100,113149,1915092
114100,140061,1941646
115100,93795,1890382
116100,91070,1892320
117100,99670,2009342
118100,88655,1902176
119100,123990,2056047
120100,136091,1926237
121100,150791,2103840
122100,85494,2025369
123100,79121,2071936
124100,85938,2024889
125100,87573,2059146
126100,115277,1975422
127100,82074,2095971
128100,100095,1936502
129100,100817,1977799
130100,145051,1913529
131100,97602,2006525
132100,87947,1971577
133100,101870,2026747
134100,101388,1878387
135100,115885,2009236
136100,124776,1848640
137100,149608,1960494
138100,153578,1885015
139100,91650,1922553
140100,109455,2007881
141100,81137,1994316
142100,79356,1933422
143100,88667,1995175
144100,82270,1982874
145100,77662,1854115
146100,86048,1871643
147100,112757,1852356
148100,83800,2097252
149100,95650,1854867
150100,86285,1931002
151100,114315,1868151
152100,105309,1996221
153100,112170,1964758
154100,101953,2017874
155100,111224,1916081
156100,82100,2109780
157100,82538,1947730
158100,87516,1939100
159100,85226,1911250
160100,91607,1945652
161100,120776,1918022
162100,88945,1919107
163100,101911,1989381
164100,119672,2280698
165100,82434,1961556
166100,83710,1919533
167100,83553,1922834
168100,109299,1932932
169100,84723,2081120
170100,78584,1903215
171100,80798,2002943
172100,82529,2013674
173100,85432,2046314
174100,76885,2003373
175100,77033,1991589
176100,93884,1935313
177100,77932,2033606
178100,87833,1883305
179100,104031,1918511
180100,80991,2026262
181100,96855,1918403
182100,98856,1946387
183100,129351,1936776
184100,83306,2003128
185100,79817,2113463
186100,84216,2074950
187100,80223,2146175
188100,83158,2045927
189100,84939,2017142
190100,84242,2200562
191100,82068,2000311
192100,81864,2006170
193100,84295,1968782
194100,78241,2084908
195100,80514,2103442
196100,84919,2098133
197100,79752,1909736
198100,81458,2085955
199100,80553,1947690
200100,106897,1987151
201100,95467,1976396
202100,90532,1984667
203100,131379,2336346
204100,95986,2047212
205100,110546,2166280
206100,91701,2122968
207100,119012,2092996
208100,121408,1945097
209100,132232,1956357
210100,134228,1976914
211100,84799,2254254
212100,79840,1930601
213100,87057,2052768
