N,time_s,numberofswaps_s,time_h,numberofswaps_h,time_f,numberofswaps_f
100,7.75,9,7.58,8,12.61,10
10100,2106.64,2501,2116.22,2477,2814.79,3147
20100,4918.31,6249,4525.32,5530,6000.9,7309
30100,7023.9,9347,7279.44,9097,9459.45,11596
40100,10001.8,13685,9576.49,12367,12722.9,16116
50100,13049.9,19160,12529.8,16785,17125.5,21443
60100,16793.7,21778,17110.5,20637,20810.3,26997
70100,18456.8,27176,18627.5,25443,24951.4,32801
80100,22408,30719,22981.5,29309,30727.4,38251
90100,27723.9,34556,27173.8,33362,33204.6,44407
100100,31058.8,45001,28592.5,38055,39288.3,50596
110100,31066.8,46131,30411.8,41687,41760.9,56922
120100,33706.9,50240,34102.2,47779,45166,62320
130100,39435.6,61567,37279,52788,52157.8,70494
140100,41464.4,61227,40750.1,57692,59028.1,75784
150100,44952.5,70491,43576,61682,60615.9,81676
160100,47432.4,72205,50067.9,68987,63995.6,87857
170100,51341.3,79845,51064.7,74820,67013.6,93912
180100,55967.7,84757,55409.8,80737,70666.2,98405
190100,58825.1,86449,59950.7,88249,82619.5,107718
