N,time
100,4876
200,10925
300,21154
400,27210
500,32512
600,17528
700,17616
800,19726
900,22801
1000,25044
1100,26937
1200,29715
1300,32784
1400,34580
1500,37605
1600,39296
1700,41872
1800,45370
1900,46872
2000,49901
2100,52088
2200,54787
2300,57930
2400,59378
2500,61007
2600,64647
2700,65665
2800,68916
2900,71250
3000,72763
3100,74865
3200,80132
3300,85532
3400,121612
3500,148997
3600,125502
3700,117233
3800,181054
3900,121493
4000,153097
4100,175915
4200,187786
4300,188876
4400,171813
4500,186504
4600,190860
4700,179609
4800,126417
4900,129786
5000,132206
5100,135294
5200,137625
5300,140130
5400,142381
5500,145738
5600,146652
5700,149550
5800,214952
5900,263829
6000,213495
6100,158735
6200,157524
6300,160240
6400,162914
6500,165747
6600,170063
6700,175896
6800,178007
6900,180073
7000,174533
7100,178817
7200,179961
7300,182296
7400,223286
7500,180303
7600,183184
7700,193142
7800,197265
7900,192570
8000,192998
8100,196053
8200,199438
8300,199865
8400,201582
8500,222307
8600,226114
8700,208837
8800,210558
8900,212816
9000,215234
9100,216847
9200,231306
9300,268043
9400,232908
9500,233419
9600,239230
9700,238710
9800,234664
9900,239406
10000,256078
10100,257023
10200,254747
10300,258054
10400,254900
10500,256677
10600,260150
10700,266326
10800,334637
10900,420087
11000,422090
11100,275801
11200,281089
11300,275552
11400,279996
11500,280413
11600,285115
11700,294565
11800,293046
11900,288927
12000,290665
12100,295472
12200,296546
12300,301027
12400,303793
12500,301941
12600,304477
12700,306766
12800,310947
12900,319090
13000,321982
13100,333001
13200,322559
13300,326617
13400,326219
13500,368489
13600,327950
13700,331431
13800,333051
13900,334467
14000,336854
14100,340115
14200,342162
14300,344472
14400,345440
14500,397323
14600,354243
14700,356159
14800,364026
14900,359311
15000,359974
15100,364144
15200,364831
15300,367943
15400,370569
15500,371192
15600,373519
15700,377588
15800,378240
15900,390085
16000,387713
16100,389132
16200,430678
16300,433656
16400,396371
16500,396580
16600,442540
16700,401839
16800,403160
16900,416372
17000,409329
17100,410392
17200,432265
17300,431368
17400,467869
17500,420237
17600,422491
17700,424515
17800,428862
17900,429592
18000,431347
18100,433129
18200,435779
18300,439482
18400,491821
18500,445050
18600,485188
18700,447117
18800,450092
18900,451348
19000,455106
19100,456076
19200,459344
19300,461461
19400,464046
19500,476600
19600,471573
19700,473673
19800,472351
19900,477777
20000,476523
20100,480579
20200,494972
20300,511825
20400,502176
20500,510082
20600,511782
20700,521874
20800,508568
20900,556183
21000,513173
21100,515564
21200,518297
21300,522118
21400,527838
21500,527749
21600,536873
21700,635853
21800,617567
21900,534189
22000,539829
22100,538859
22200,541772
22300,551649
22400,547496
22500,553743
22600,553809
22700,553826
22800,554699
22900,558583
23000,559221
23100,565231
23200,568209
23300,567664
23400,573340
23500,575277
23600,574399
23700,575870
23800,578392
23900,581816
24000,586553
24100,592696
24200,588521
24300,594475
24400,599158
24500,598223
24600,599324
24700,598658
24800,605249
24900,606514
25000,606455
25100,609372
25200,617010
25300,613585
25400,616118
25500,622787
25600,623595
25700,624844
25800,625740
25900,768794
26000,722607
26100,638438
26200,634141
26300,636204
26400,646226
26500,648963
26600,643665
26700,646562
26800,709361
26900,652572
27000,657956
27100,670845
27200,665974
27300,899460
27400,809304
27500,671290
27600,674698
27700,670502
27800,684157
27900,674819
28000,676283
28100,678579
28200,679611
28300,687774
28400,688774
28500,692278
28600,692051
28700,695584
28800,694815
28900,696043
29000,701083
29100,706534
29200,708771
29300,709396
29400,709011
29500,753855
29600,714440
29700,717015
29800,740499
29900,745533
30000,728534
30100,730838
30200,734680
30300,730602
30400,733557
30500,745603
30600,747840
30700,742971
30800,742585
30900,744397
31000,745370
31100,763357
31200,765581
31300,758447
31400,756334
31500,759506
31600,766247
31700,765646
31800,766479
31900,803399
32000,794638
32100,772329
32200,773648
32300,775526
32400,779546
32500,845125
32600,788650
32700,788762
32800,1.05558e+06
32900,792208
33000,795670
33100,811936
33200,813940
33300,807314
33400,805205
33500,805293
33600,810953
33700,816826
33800,819307
33900,816637
34000,818023
34100,819296
34200,822832
34300,828336
