N,time
100,79
200,87
300,94
400,96
500,91
600,104
700,107
800,105
900,93
1000,88
1100,90
1200,96
1300,107
1400,103
1500,101
1600,103
1700,103
1800,101
1900,107
2000,100
2100,98
2200,100
2300,87
2400,104
2500,93
2600,94
2700,94
2800,95
2900,101
3000,95
3100,109
3200,104
3300,107
3400,97
3500,103
3600,106
3700,121
3800,123
3900,113
4000,107
4100,130
4200,130
4300,129
4400,127
4500,128
4600,159
4700,139
4800,109
4900,118
5000,120
5100,119
5200,112
5300,113
5400,122
5500,107
5600,112
5700,154
5800,195
5900,197
6000,213
6100,138
6200,120
6300,106
6400,146
6500,129
6600,154
6700,145
6800,156
6900,152
7000,159
7100,141
7200,122
7300,125
7400,111
7500,107
7600,137
7700,130
7800,112
7900,114
8000,126
8100,125
8200,140
8300,153
8400,146
8500,148
8600,147
8700,145
8800,158
8900,139
9000,150
9100,145
9200,144
9300,155
9400,151
9500,146
9600,151
9700,155
9800,158
9900,150
10000,151
10100,153
10200,159
10300,151
10400,155
10500,149
10600,142
10700,148
10800,147
10900,153
11000,145
11100,150
11200,151
11300,148
11400,144
11500,141
11600,158
11700,148
11800,148
11900,162
12000,145
12100,146
12200,143
12300,137
12400,157
12500,176
12600,146
12700,156
12800,152
12900,156
13000,149
13100,147
13200,146
13300,143
13400,147
13500,146
13600,153
13700,138
13800,137
13900,153
14000,160
14100,155
14200,155
14300,145
14400,144
14500,150
14600,153
14700,145
14800,142
14900,149
15000,145
15100,147
15200,138
15300,144
15400,146
15500,137
15600,147
15700,152
15800,147
15900,151
16000,154
16100,155
16200,156
16300,141
16400,212
16500,239
16600,165
16700,132
16800,163
16900,182
17000,150
17100,167
17200,171
17300,169
17400,157
17500,155
17600,169
17700,160
17800,155
17900,153
18000,154
18100,163
18200,158
18300,162
18400,154
18500,163
18600,166
18700,180
18800,159
18900,154
19000,151
19100,170
19200,159
19300,160
19400,158
19500,148
19600,170
19700,139
19800,136
19900,157
20000,183
20100,158
20200,166
20300,168
20400,162
20500,170
20600,158
20700,164
20800,166
20900,148
21000,155
21100,154
21200,144
21300,160
21400,163
21500,154
21600,154
21700,158
21800,169
21900,168
22000,156
22100,149
22200,156
22300,163
22400,160
22500,156
22600,167
22700,158
22800,174
22900,156
23000,150
23100,1081
23200,168
23300,169
23400,161
23500,160
23600,155
23700,167
23800,1241
23900,138
24000,155
24100,168
24200,170
24300,158
24400,151
24500,155
24600,159
24700,167
24800,141
24900,134
25000,166
25100,157
25200,161
25300,163
25400,169
25500,155
25600,165
25700,160
25800,156
25900,166
26000,153
26100,153
26200,162
26300,171
26400,162
26500,164
26600,151
26700,166
26800,160
26900,157
27000,165
27100,160
27200,158
27300,157
27400,158
27500,154
27600,159
27700,163
27800,165
27900,156
28000,141
28100,141
28200,173
28300,170
28400,163
28500,169
28600,166
28700,184
28800,149
28900,152
29000,136
29100,162
29200,152
29300,171
29400,158
29500,158
29600,161
29700,165
29800,150
29900,158
30000,160
30100,161
30200,144
30300,163
30400,160
30500,164
30600,160
30700,159
30800,158
30900,151
31000,164
31100,155
31200,156
31300,158
31400,159
31500,154
31600,152
31700,163
31800,165
31900,157
32000,147
32100,171
32200,148
32300,160
32400,161
32500,154
32600,155
32700,154
32800,170
32900,154
33000,178
33100,155
33200,154
33300,157
33400,152
33500,154
33600,223
33700,158
33800,154
33900,159
34000,144
34100,126
34200,181
34300,188
34400,316
34500,167
34600,168
34700,162
34800,161
34900,221
35000,169
35100,160
35200,161
35300,310
35400,269
35500,251
35600,163
35700,170
35800,170
35900,173
36000,194
36100,264
36200,350
36300,177
36400,334
36500,255
36600,219
36700,165
36800,167
36900,166
37000,166
37100,147
37200,152
37300,154
37400,161
37500,160
37600,164
37700,166
37800,170
37900,160
38000,161
38100,158
38200,162
38300,161
38400,165
38500,157
38600,127
38700,246
38800,268
38900,283
39000,269
39100,173
39200,154
39300,166
39400,171
39500,167
39600,160
39700,161
39800,199
39900,461
40000,527
40100,348
40200,295
40300,294
40400,276
40500,155
40600,276
40700,204
40800,158
40900,290
41000,362
41100,238
41200,273
41300,299
41400,287
41500,254
41600,244
41700,176
41800,150
41900,163
42000,166
42100,171
42200,131
42300,220
42400,375
42500,198
42600,173
42700,170
42800,165
42900,161
43000,155
43100,147
43200,160
43300,151
43400,149
43500,157
43600,149
43700,160
43800,164
43900,157
44000,157
44100,164
44200,166
44300,157
44400,165
44500,153
44600,157
44700,165
44800,160
44900,161
45000,162
45100,152
45200,155
45300,161
45400,160
45500,160
45600,160
45700,165
45800,147
45900,259
46000,282
46100,168
46200,177
46300,315
46400,280
46500,155
46600,151
46700,164
46800,163
46900,172
47000,163
47100,162
47200,527
47300,312
47400,196
47500,158
47600,177
47700,267
47800,168
47900,165
48000,171
48100,163
48200,890
48300,154
48400,163
48500,165
48600,150
48700,159
48800,175
48900,149
49000,162
49100,161
49200,162
49300,150
49400,160
49500,151
49600,145
49700,165
49800,148
49900,147
50000,149
50100,158
50200,152
50300,154
50400,148
50500,151
50600,154
50700,159
50800,148
50900,156
51000,170
51100,168
51200,160
51300,169
51400,158
51500,156
51600,166
51700,159
51800,166
51900,175
52000,173
52100,166
52200,166
52300,160
52400,157
52500,166
52600,158
52700,164
52800,161
52900,161
53000,161
53100,170
53200,148
53300,156
53400,149
53500,163
53600,164
53700,159
53800,159
53900,157
54000,147
54100,154
54200,155
54300,163
54400,154
54500,147
54600,143
54700,147
54800,160
54900,148
55000,161
55100,167
55200,150
55300,147
55400,155
55500,151
55600,149
55700,149
55800,158
55900,158
56000,154
56100,159
56200,156
56300,158
56400,151
56500,145
56600,144
56700,157
56800,156
56900,157
57000,155
57100,135
57200,149
57300,164
57400,158
57500,147
57600,157
57700,148
57800,161
57900,148
58000,154
58100,151
58200,159
58300,145
58400,637
58500,144
58600,155
58700,147
58800,161
58900,153
59000,144
59100,152
59200,155
59300,162
59400,156
59500,161
59600,150
59700,155
59800,146
59900,145
60000,142
60100,143
60200,177
60300,139
60400,143
60500,141
60600,158
60700,152
60800,152
60900,148
61000,147
61100,148
61200,143
61300,150
61400,149
61500,150
