N,time
100,391
200,710
300,1037
400,1423
500,1697
600,1504
700,1585
800,1809
900,2013
1000,2240
1100,2509
1200,2724
1300,2902
1400,3118
1500,3375
1600,3648
1700,3805
1800,4010
1900,4236
2000,4579
2100,4827
2200,5226
2300,5318
2400,5365
2500,5684
2600,5772
2700,6140
2800,6317
2900,6368
3000,6506
3100,6655
3200,6964
3300,7326
3400,7691
3500,7955
3600,8147
3700,8355
3800,8598
3900,8903
4000,9075
4100,9299
4200,9481
4300,9892
4400,10349
4500,10053
4600,10323
4700,10584
4800,10816
4900,11039
5000,11172
5100,11458
5200,11662
5300,11925
5400,12162
5500,12337
5600,12719
5700,13218
5800,13433
5900,13628
6000,13804
6100,13484
6200,13714
6300,13899
6400,14073
6500,15816
6600,14945
6700,15313
6800,15291
6900,15524
7000,15861
7100,16133
7200,15776
7300,19127
7400,18742
7500,18582
7600,17766
7700,17752
7800,20906
7900,17279
8000,17288
8100,17753
8200,18507
8300,18807
8400,19090
8500,19468
8600,19607
8700,19660
8800,19619
8900,19826
9000,20036
9100,19778
9200,19991
9300,20196
9400,20414
9500,20450
9600,20653
9700,25538
9800,21619
9900,21274
10000,21737
10100,22331
10200,22610
10300,22542
10400,22546
10500,22939
10600,22739
10700,24467
10800,24042
10900,23445
11000,23648
11100,23960
11200,24174
11300,24267
11400,24460
11500,24720
11600,24939
11700,28674
11800,25323
11900,26735
12000,26864
12100,26355
12200,26726
12300,28698
12400,28518
12500,27335
12600,27137
12700,27279
12800,27468
12900,27733
13000,27916
13100,28068
13200,28351
13300,28485
13400,29193
13500,29960
13600,29241
13700,29563
13800,29775
13900,29894
14000,30402
14100,30303
14200,30592
14300,30767
14400,30930
14500,31121
14600,31321
14700,31734
14800,32206
14900,32244
15000,32440
15100,32429
15200,32881
15300,32829
15400,33848
15500,33645
15600,33413
15700,33736
15800,33876
15900,34252
16000,34305
16100,34971
16200,34905
16300,34950
16400,35177
16500,35623
16600,35542
16700,36188
16800,36214
16900,36281
17000,36407
17100,36753
17200,37100
17300,37463
17400,37543
17500,37462
17600,41529
17700,37956
17800,38254
17900,42313
18000,39369
18100,38866
18200,42867
18300,39738
18400,39743
18500,39909
18600,40067
18700,40324
18800,40325
18900,40493
19000,41368
19100,41806
19200,41160
19300,41539
19400,42736
19500,41856
19600,42099
19700,45900
19800,42597
19900,42714
20000,42886
20100,47465
20200,43373
20300,43815
20400,44229
20500,44064
20600,44179
20700,44474
20800,44788
20900,44749
21000,44967
21100,45762
21200,45426
21300,46022
21400,46260
21500,46107
21600,50637
21700,46579
21800,46914
21900,46950
22000,48159
22100,48630
22200,49319
22300,48481
22400,51137
22500,48312
22600,48459
22700,48758
22800,49035
22900,49551
23000,54972
23100,51439
23200,50332
23300,50287
23400,50199
23500,50283
23600,50632
23700,50788
23800,51807
23900,52003
24000,51855
24100,51906
24200,51788
24300,52193
24400,52280
24500,52546
24600,53125
24700,53793
24800,53407
24900,53347
25000,53831
25100,53951
25200,54691
25300,54251
25400,55208
25500,56297
25600,54904
25700,55015
25800,55310
25900,55507
26000,55699
26100,56163
26200,57087
26300,57677
26400,56825
26500,56913
26600,57214
26700,57231
26800,60975
26900,58813
27000,58802
27100,58384
27200,58398
27300,58488
27400,58869
27500,59028
27600,59601
27700,59753
27800,62136
27900,61806
28000,60329
28100,60160
28200,60825
28300,61818
28400,61732
28500,61717
28600,62236
28700,61410
28800,61617
28900,62131
29000,63130
29100,62446
29200,64405
29300,62773
29400,63074
29500,63297
29600,63778
29700,65634
29800,67429
29900,64599
30000,64467
30100,64564
30200,66195
30300,65691
30400,65132
30500,65391
30600,66372
30700,65857
30800,65979
30900,66773
31000,66532
31100,66810
31200,67250
31300,67408
31400,67574
31500,67813
31600,67861
31700,67900
31800,68253
31900,68811
32000,68952
32100,69171
32200,69264
32300,69270
32400,69678
32500,69863
32600,70408
32700,70223
32800,70877
32900,70602
33000,70793
33100,71054
33200,72073
33300,75608
33400,73163
33500,72016
33600,72123
33700,72293
33800,72921
33900,73620
34000,73168
34100,73271
34200,73346
34300,73941
34400,74707
34500,75463
34600,74523
34700,74494
34800,74732
34900,74862
35000,77376
35100,79034
35200,75871
35300,79511
35400,76170
35500,76145
35600,78433
35700,76571
35800,76814
35900,76968
36000,77245
36100,77777
36200,78414
36300,77888
36400,78036
36500,78191
36600,78511
36700,79461
36800,79486
36900,79229
37000,79514
37100,79734
37200,80114
37300,80556
37400,83838
37500,80312
37600,80762
37700,82173
37800,82914
37900,82333
38000,81565
38100,81705
38200,83183
38300,82771
38400,83306
38500,83673
38600,82928
38700,86447
38800,85465
38900,85314
39000,83938
39100,84109
39200,84739
39300,85104
39400,89570
39500,89821
39600,84781
39700,85727
39800,86203
39900,85532
40000,86132
40100,86273
40200,86623
40300,86714
40400,86842
40500,87659
40600,87075
40700,87497
40800,87620
40900,87803
41000,88229
41100,88524
41200,88762
41300,88488
41400,92838
41500,91632
41600,90750
41700,90660
41800,90276
41900,90436
42000,90874
42100,95797
42200,90543
42300,90665
42400,91765
42500,92693
42600,92051
42700,92487
42800,96869
42900,97373
43000,101816
43100,97291
43200,96657
43300,93235
43400,99444
43500,95483
43600,94291
43700,93824
43800,94939
43900,96265
44000,94823
44100,94659
44200,95069
44300,95836
44400,95888
44500,95510
44600,95890
44700,95921
44800,96956
44900,96500
45000,100049
45100,96695
45200,102431
45300,101922
45400,99212
45500,97422
45600,106589
45700,98556
45800,98645
45900,99045
46000,102309
46100,101194
46200,99714
46300,99637
46400,100108
46500,100718
46600,100895
46700,100433
46800,100874
46900,101783
47000,105199
47100,100993
47200,101445
47300,103142
47400,101710
47500,102474
47600,102278
47700,107004
47800,103465
47900,104676
48000,103012
48100,103847
48200,103387
48300,112301
48400,104409
48500,105897
48600,104459
48700,104860
48800,105372
48900,113936
49000,105724
49100,106303
49200,106342
49300,111420
49400,109730
49500,106962
49600,108046
49700,107359
49800,107286
49900,107110
50000,107667
50100,108245
50200,107683
50300,107714
50400,109437
50500,108553
50600,108551
50700,108733
50800,110004
50900,109583
51000,109780
51100,112400
51200,115176
51300,110522
51400,113335
51500,110747
51600,114632
51700,110867
51800,111046
51900,111332
52000,112610
52100,111886
52200,111869
52300,117211
52400,113425
52500,112726
52600,112802
52700,113469
52800,114366
52900,113725
53000,113881
53100,115177
53200,114810
53300,114457
53400,115072
53500,118167
53600,115327
53700,115331
53800,116490
53900,116140
54000,116156
54100,116303
54200,117222
54300,116941
54400,117907
54500,118158
54600,117323
54700,117847
54800,117374
54900,118140
55000,117884
55100,118891
55200,119469
55300,119446
55400,119339
55500,119055
55600,120099
55700,119314
55800,120245
55900,121459
56000,120239
56100,120457
56200,121233
56300,121607
56400,120929
56500,121678
56600,122725
56700,125381
56800,121913
56900,126210
57000,127873
57100,123995
57200,127255
57300,125505
57400,123271
57500,123110
57600,125553
57700,124202
57800,124022
57900,124528
58000,125586
58100,124827
58200,124680
58300,125977
58400,125525
58500,128142
58600,127783
58700,128682
58800,126267
58900,126979
59000,127853
59100,128866
59200,127212
59300,127949
59400,131861
59500,127962
59600,129192
59700,128689
59800,131957
59900,128940
60000,129221
60100,130032
60200,129200
60300,132864
60400,132157
60500,130200
60600,132647
60700,130777
60800,130895
60900,131595
61000,131175
61100,135696
61200,133110
61300,131641
61400,132193
61500,132978
61600,132807
61700,132200
61800,132955
61900,136722
62000,133301
62100,135647
62200,136302
62300,133943
62400,140808
62500,136293
62600,134762
62700,134920
62800,136380
62900,135345
63000,135506
63100,137079
63200,135526
63300,136058
63400,137683
63500,141279
63600,136621
63700,138811
63800,137185
63900,137195
64000,138884
64100,138025
64200,137991
64300,138983
64400,139246
64500,138648
64600,139950
64700,140289
64800,143005
64900,140742
65000,141433
65100,139720
65200,140752
65300,140461
65400,140306
65500,141452
65600,140982
65700,140947
65800,142496
65900,141670
66000,144557
66100,143969
66200,147294
66300,146796
66400,145764
66500,143369
66600,149017
66700,149230
66800,143889
66900,144671
67000,145870
67100,144608
67200,145732
67300,146460
67400,144862
67500,146165
67600,145722
67700,145593
67800,147327
67900,151435
68000,155229
68100,152272
68200,147094
68300,146915
68400,148220
68500,147520
68600,147421
68700,148560
68800,147588
68900,148846
69000,153657
69100,149025
69200,156516
69300,151088
69400,148665
69500,150544
69600,149706
69700,149523
69800,150641
69900,150106
70000,149993
70100,151317
70200,150762
70300,154139
70400,154092
70500,152389
70600,157110
70700,154157
70800,152337
70900,153920
71000,159122
71100,160462
71200,163519
71300,164103
71400,167882
71500,167297
71600,167102
71700,155599
71800,155581
71900,154972
72000,158858
72100,156723
72200,157631
72300,155562
72400,157128
72500,156855
72600,156253
72700,158824
72800,156680
72900,157244
73000,158588
73100,157223
73200,158608
73300,161268
73400,158174
73500,159788
73600,157931
73700,158177
73800,169846
73900,159272
74000,160281
74100,159751
74200,159520
74300,164891
74400,164316
74500,164473
74600,163314
74700,161333
74800,165852
74900,162302
75000,160984
75100,162978
75200,162499
75300,168392
75400,162444
75500,162203
75600,162926
75700,164546
75800,166316
75900,165787
76000,164445
76100,164535
76200,163700
76300,165465
76400,163959
76500,164534
76600,164697
76700,164822
76800,167918
76900,166393
77000,166225
77100,172693
77200,170271
77300,170356
77400,168101
