N,time_r,time_n
100,218,2851
200,396,5688
300,526,8386
400,631,10682
500,799,13322
600,930,16129
700,978,18681
800,1311,21645
900,1463,24208
1000,1416,27072
1100,1595,29484
1200,1796,32328
1300,2023,34626
1400,2069,37771
1500,2209,39633
1600,2475,43422
1700,2527,44808
1800,2492,48358
1900,2724,49701
2000,3013,54070
2100,2997,56998
2200,2999,59136
2300,3094,63102
2400,3584,66894
2500,3557,85967
2600,3920,108070
2700,4002,117113
2800,4062,119913
2900,4020,110601
3000,4442,79801
3100,4531,83763
3200,4778,86719
3300,4799,88876
3400,5247,92048
3500,4815,93911
3600,5389,97338
3700,5047,99528
3800,5933,103224
3900,6223,104013
4000,5947,107498
4100,6039,110821
4200,5837,114209
4300,6324,116347
4400,6627,118357
4500,6824,122250
4600,6838,126531
4700,6701,131484
4800,7448,133939
4900,7117,136106
5000,7148,134235
5100,6730,130150
5200,7337,131942
5300,7145,135431
5400,7519,138797
5500,7405,139163
5600,6795,142519
5700,7295,146080
5800,8656,148908
5900,8036,150743
6000,7812,155233
6100,8239,156891
6200,9005,158064
6300,8666,162387
6400,9115,250432
6500,8700,260730
6600,8247,169228
6700,9240,170811
6800,9787,175527
6900,9613,177184
7000,8731,223508
7100,9519,181671
7200,9341,183957
7300,10151,186746
7400,9792,189053
7500,9097,191114
7600,9976,193278
7700,11427,196483
7800,11479,213884
7900,11596,206752
8000,10168,209735
8100,10729,206053
8200,10949,212534
8300,11107,212856
8400,11004,215818
8500,11857,219340
8600,12484,219893
8700,11831,223675
8800,12413,225170
8900,9772,229777
9000,12411,230635
9100,11707,233466
9200,12087,235215
9300,11185,237663
9400,11696,240891
9500,12647,241297
9600,13167,245762
9700,13982,247656
9800,13193,251008
9900,12541,252383
10000,13053,268397
10100,14032,262603
10200,13537,261454
10300,15532,265999
10400,13686,265141
10500,13016,267812
10600,15324,271231
10700,13434,272532
10800,14867,341492
10900,17010,318439
11000,16910,306543
11100,15172,285230
11200,15223,294427
11300,18734,302008
11400,16605,292690
11500,15389,294054
11600,16658,296228
11700,16619,349873
11800,18227,319687
11900,16253,306938
12000,15531,306779
12100,13905,311383
12200,15159,312978
12300,16811,318576
12400,18906,318273
12500,17556,374264
12600,18189,326327
12700,17430,326152
12800,18215,326230
12900,14658,331881
13000,17213,331076
13100,17763,334625
13200,16174,336832
13300,17496,343508
13400,18135,344990
13500,18384,347514
13600,18855,347764
13700,18327,350578
13800,18395,351811
13900,18230,355922
14000,18697,357784
14100,19534,360637
14200,18354,362133
14300,20004,366207
14400,22121,367472
14500,21946,370411
14600,20128,372181
14700,21551,383751
14800,21478,379517
14900,19556,382445
15000,19808,412328
15100,21315,392587
15200,22027,388490
15300,21776,388738
15400,26293,541668
15500,19376,393514
15600,20333,402864
15700,22262,411940
15800,22385,402534
15900,21516,406647
16000,21535,410628
16100,20991,411867
16200,22811,413312
16300,21638,417608
16400,21449,423855
16500,23423,422056
16600,23370,426207
16700,23734,430923
16800,24150,429555
16900,22491,429773
17000,23669,438138
17100,25707,438156
17200,23507,447100
17300,23411,445108
17400,22264,446078
17500,23942,448297
17600,22925,452604
17700,24810,457873
17800,25661,457291
17900,26587,461743
18000,24466,462460
18100,23071,462258
18200,22162,468235
18300,23550,476751
18400,29197,471238
18500,23662,473043
18600,22933,473824
18700,22767,483455
18800,25914,540299
18900,26308,488420
19000,28160,485160
19100,24865,491551
19200,26023,496063
19300,29050,502247
19400,24451,499731
19500,26553,500785
19600,23959,503932
19700,27587,505961
19800,26206,509280
19900,28653,509286
20000,27137,513226
20100,25715,516718
20200,25181,514911
20300,28117,524094
20400,29868,524500
20500,28156,522577
20600,26588,527798
20700,28514,529215
20800,25755,616147
20900,28743,538286
21000,24768,541434
21100,28536,538862
21200,25853,540441
21300,30956,552032
21400,29206,551394
21500,26000,551094
21600,26736,554618
21700,30880,562764
21800,27684,558413
21900,31089,561652
22000,29122,563461
22100,30907,567277
22200,34336,569636
22300,29828,570651
22400,26965,577796
22500,29363,577711
22600,30181,585044
22700,32214,583629
22800,34653,585695
22900,31409,662973
23000,31157,592417
23100,26343,593284
23200,31545,594177
23300,29216,602700
23400,30480,607942
23500,32643,604673
23600,34861,605587
23700,30527,610577
23800,32740,609884
23900,34674,615199
24000,30894,614188
24100,34095,617709
24200,34147,615154
24300,32877,625128
24400,31988,627496
24500,34228,637083
24600,32156,633989
24700,34300,641964
24800,34135,632163
24900,34184,635990
25000,32541,638074
25100,34231,645499
25200,33776,645155
25300,31326,654790
25400,34878,653141
25500,36058,655741
25600,34747,660241
25700,33022,662941
25800,35914,662321
25900,37221,666206
26000,33604,659318
26100,35748,713888
26200,35838,683338
26300,35471,671579
26400,34687,673469
26500,33305,684201
26600,36518,687564
26700,33735,686425
26800,36077,685904
26900,32690,694842
27000,39165,738701
27100,32522,695244
27200,35387,699008
27300,36582,715428
27400,40027,704560
27500,38677,750600
27600,37658,1.09166e+06
27700,36786,711857
27800,37845,715344
27900,39092,725382
