N,time_r,time_n
100,305,3911
200,483,7636
300,627,11389
400,804,17761
500,1130,18746
600,1058,18204
700,981,20706
800,1160,23551
900,1451,27094
1000,1413,29339
1100,1578,32868
1200,1796,35774
1300,2045,40323
1400,2156,43309
1500,2314,47030
1600,2631,48892
1700,2489,50336
1800,2482,52742
1900,2750,55310
2000,2933,59519
2100,2919,61094
2200,2906,64867
2300,3112,68735
2400,3511,72130
2500,3478,75243
2600,3717,77928
2700,4014,81419
2800,4081,83057
2900,4127,85751
3000,4483,89399
3100,4458,92018
3200,4694,96555
3300,4929,101303
3400,5354,103707
3500,4886,107479
3600,5468,109767
3700,5014,113002
3800,5860,113858
3900,6110,115375
4000,5899,139898
4100,5930,184971
4200,5906,129385
4300,6392,131554
4400,6700,134545
4500,6881,134552
4600,6749,137344
4700,6434,140355
4800,7103,138778
4900,6594,139805
5000,6578,142346
5100,6694,145963
5200,7354,155337
5300,7381,157168
5400,7737,155583
5500,7454,157480
5600,6795,159370
5700,7383,163406
5800,8551,165918
5900,8028,223044
6000,8065,178784
6100,8212,175192
6200,8963,176664
6300,8599,180823
6400,9164,182294
6500,8619,185101
6600,8252,188982
6700,9524,199018
6800,10460,202384
6900,9637,197259
7000,8797,202089
7100,9627,203777
7200,9402,206130
7300,10157,210949
7400,9983,214218
7500,9156,215534
7600,9975,216380
7700,11638,219457
7800,11186,222666
7900,11328,230931
8000,9861,229120
8100,10726,230468
8200,10936,324384
8300,10986,345354
8400,10793,297542
8500,11974,247595
8600,12512,245519
8700,11873,251954
8800,14456,253811
8900,10196,256100
9000,12334,258155
9100,11731,260978
9200,13765,273541
9300,11208,266724
9400,11760,270967
9500,13114,279660
9600,13128,275456
9700,14043,278751
9800,13465,293566
9900,12501,284024
10000,13096,286236
10100,13583,289362
10200,13612,292802
10300,15490,297558
10400,13816,391208
10500,15671,429459
10600,16629,327301
10700,13413,306627
10800,16626,347338
10900,15693,373827
11000,15420,319226
11100,15151,318297
11200,15803,325728
11300,16227,332906
11400,15263,331610
11500,15565,327846
11600,16203,330299
11700,16407,336248
11800,17527,339294
11900,15637,339149
12000,15706,343902
12100,13980,350311
12200,15229,350423
12300,16843,353967
12400,21634,354734
12500,17756,359630
12600,18007,362072
12700,17397,370005
12800,20228,380057
12900,15258,384356
13000,17244,371821
13100,17727,374421
13200,16226,377923
13300,17313,381587
13400,18103,389595
13500,18914,393474
13600,18846,390180
13700,18448,403908
13800,18707,393958
13900,18363,398052
14000,18825,397209
14100,19319,411871
14200,18321,407074
14300,20125,409522
14400,19859,606940
14500,21952,412761
14600,20136,416685
14700,20242,434803
14800,21217,426035
14900,19549,470793
15000,19077,429019
15100,21360,434260
15200,21900,433612
15300,22046,438721
15400,26413,450620
15500,19458,440194
15600,20178,445045
15700,22216,449661
15800,22369,449191
15900,21620,463967
16000,21812,459205
16100,20985,460977
16200,22780,465643
16300,22347,466569
16400,21542,491593
16500,24006,476633
16600,23412,475477
16700,23773,480174
16800,24325,480085
16900,22455,485172
17000,24019,487933
17100,25967,528844
17200,24367,497046
17300,23384,496447
17400,22515,502019
17500,24271,500880
17600,22978,515507
17700,24996,507896
17800,25564,508492
17900,26392,515018
18000,24717,519597
18100,23202,521077
18200,22301,523946
18300,23508,524438
18400,26471,531231
18500,22954,529979
18600,23033,532338
18700,23004,536567
18800,25928,538623
18900,26055,550917
19000,28170,542959
19100,25132,560342
19200,26634,555196
19300,26906,557915
19400,29811,561897
19500,26707,572257
19600,28562,635438
19700,28250,572992
19800,26910,575631
19900,28829,570245
20000,27157,574975
20100,26172,578895
20200,25245,629516
20300,28057,582668
20400,29697,586801
20500,28089,590990
20600,26576,590988
20700,28689,591323
20800,25888,638935
20900,29035,600930
21000,25320,606119
21100,29612,607161
21200,25851,606230
21300,30734,610782
21400,29266,623804
21500,26287,624186
21600,26833,622339
21700,32327,622914
21800,27622,669948
21900,31941,645619
22000,29525,633811
22100,30941,637524
22200,34306,634249
22300,30647,640761
22400,27087,646978
22500,31841,645246
22600,30299,648462
22700,32946,663067
22800,35037,655625
22900,31962,658945
23000,31286,658654
23100,27077,667185
23200,31514,666836
23300,29222,673297
23400,30656,677482
23500,33070,684451
23600,34844,874023
23700,30625,681291
23800,32872,688101
23900,35004,686157
24000,32827,687245
24100,34096,691014
24200,34390,692325
24300,32777,699049
24400,32117,701239
24500,34300,712201
24600,32176,709667
24700,33892,712054
24800,34317,707816
24900,34438,714826
25000,32461,719872
25100,33707,719077
25200,33755,722951
25300,31275,724282
25400,35292,776061
25500,36357,732785
25600,34969,743844
25700,33191,745632
25800,36410,740427
25900,37133,752400
26000,33592,739298
26100,34012,800914
26200,36114,756025
26300,35950,757036
26400,34880,756074
26500,34119,766067
26600,36835,765580
26700,33881,768241
26800,36157,778145
26900,32945,784518
27000,39244,777163
27100,32325,777897
27200,35687,784696
27300,39450,806984
27400,39957,785897
27500,39050,808044
27600,38498,789948
27700,36416,795758
27800,37942,805408
27900,39242,808573
