N,time
100,4919
200,8093
300,11398
400,14713
500,18020
600,21332
700,22515
800,21575
900,23609
1000,28072
1100,30764
1200,33168
1300,35261
1400,37291
1500,39758
1600,43457
1700,45724
1800,48915
1900,52176
2000,54234
2100,57351
2200,59961
2300,63119
2400,65302
2500,68376
2600,71498
2700,73673
2800,78572
2900,79676
3000,79514
3100,84223
3200,86199
3300,92327
3400,94987
3500,98248
3600,100769
3700,102557
3800,105684
3900,111346
4000,111121
4100,113701
4200,116416
4300,119069
4400,122234
4500,124550
4600,134468
4700,130138
4800,133872
4900,136378
5000,138252
5100,140282
5200,144008
5300,151016
5400,153965
5500,157868
5600,156985
5700,157855
5800,165230
5900,169254
6000,165363
6100,161483
6200,162894
6300,165538
6400,174696
6500,173359
6600,174851
6700,175957
6800,177034
6900,179043
7000,184344
7100,184163
7200,187334
7300,189440
7400,193701
7500,196174
7600,199330
7700,202223
7800,204215
7900,205651
8000,208477
8100,220991
8200,222089
8300,222237
8400,220131
8500,225093
8600,231374
8700,235077
8800,229629
8900,231495
9000,235929
9100,236621
9200,239469
9300,241599
9400,244824
9500,247085
9600,249116
9700,264134
9800,255037
9900,256626
10000,267300
10100,268895
10200,276000
10300,275382
10400,276547
10500,281813
10600,283132
10700,285662
10800,285552
10900,293767
11000,292370
11100,293810
11200,296754
11300,298841
11400,302134
11500,304184
11600,306234
11700,309038
11800,313873
11900,321679
12000,319408
12100,321877
12200,323158
12300,326311
12400,332582
12500,331770
12600,414079
12700,335074
12800,404633
12900,363758
13000,342164
13100,344342
13200,395566
13300,363386
13400,356656
13500,356107
13600,362021
13700,361260
13800,377138
13900,369106
14000,367845
14100,369585
14200,374000
14300,375158
14400,377645
14500,381981
14600,386693
14700,464815
14800,630353
14900,428140
15000,405358
15100,405922
15200,401350
15300,417883
15400,421647
15500,414385
15600,410119
15700,461397
15800,423152
15900,422268
16000,420182
16100,434849
16200,424144
16300,431699
16400,430271
16500,432328
16600,434363
16700,436028
16800,441550
16900,444984
17000,449463
17100,446109
17200,449545
17300,451463
17400,499604
17500,461112
17600,464834
17700,468154
17800,465608
17900,473572
18000,472600
18100,473387
18200,475151
18300,477929
18400,480117
18500,482164
18600,492707
18700,490118
18800,490754
18900,496191
19000,499208
19100,501460
19200,500139
19300,502893
19400,504437
19500,508969
19600,513347
19700,524440
19800,515476
19900,522609
20000,525856
20100,524311
20200,539141
20300,583559
20400,542481
20500,546944
20600,552196
20700,557435
20800,571858
20900,660892
21000,559054
21100,561153
21200,563782
21300,766639
21400,571317
21500,580550
21600,577671
21700,583224
21800,579088
21900,582269
22000,583734
22100,586255
22200,589213
22300,593545
22400,607143
22500,614800
22600,599939
22700,602287
22800,604673
22900,606961
23000,609232
23100,612894
23200,621791
23300,622665
23400,620736
23500,622632
23600,623958
23700,627796
23800,629762
23900,631627
24000,638081
24100,641519
24200,639514
24300,642967
24400,645171
24500,648917
24600,652171
24700,872168
24800,821468
24900,736434
25000,671885
25100,678230
25200,680033
25300,682094
25400,681798
25500,698311
25600,752742
25700,708446
25800,704764
25900,742466
26000,776972
26100,779769
26200,726094
26300,721807
26400,708083
26500,712602
26600,943064
26700,1.30849e+06
26800,741215
26900,759601
27000,747068
27100,837202
27200,734458
27300,722953
27400,1.04713e+06
27500,1.26446e+06
27600,741056
27700,740292
27800,741682
27900,738885
28000,738685
28100,754771
28200,749323
28300,747214
28400,750738
28500,750326
28600,771350
28700,768737
28800,776179
28900,769758
29000,763684
29100,765381
29200,767276
29300,770318
29400,787653
29500,781645
29600,842365
29700,838923
29800,783812
29900,787382
30000,825158
30100,812430
30200,813065
30300,797800
30400,803479
30500,800280
30600,812884
30700,813653
30800,819836
30900,938721
31000,833248
31100,892790
31200,865921
31300,905011
31400,826240
31500,859464
31600,830366
31700,831336
31800,831979
31900,834147
32000,912426
32100,1.27883e+06
32200,914947
32300,1.09748e+06
32400,871476
32500,868220
32600,899985
32700,937211
32800,892649
32900,968602
33000,991258
33100,928613
33200,937413
33300,887405
33400,924122
33500,882736
33600,955399
33700,922350
33800,1.10921e+06
33900,892063
34000,1.04538e+06
34100,1.0615e+06
34200,920435
34300,1.14424e+06
34400,1.18382e+06
34500,1.09092e+06
34600,1.02965e+06
34700,954586
34800,1.02167e+06
34900,972237
35000,1.02225e+06
35100,956067
35200,947313
35300,936980
35400,1.03018e+06
35500,1.0564e+06
35600,1.1198e+06
35700,1.08947e+06
35800,1.16468e+06
35900,990425
36000,1.04503e+06
36100,1.04967e+06
36200,1.00155e+06
36300,1.02186e+06
36400,984241
36500,1.00492e+06
36600,1.05014e+06
36700,1.04543e+06
36800,980920
36900,1.01656e+06
37000,1.11486e+06
37100,1.02304e+06
37200,1.01358e+06
37300,1.06847e+06
37400,1.00748e+06
37500,1.16808e+06
37600,1.16836e+06
37700,983615
37800,995295
37900,1.04023e+06
38000,995572
38100,995138
38200,998848
38300,1.08388e+06
38400,1.02844e+06
38500,1.1493e+06
38600,1.11922e+06
38700,1.04385e+06
38800,1.2389e+06
38900,1.08096e+06
39000,1.0973e+06
39100,1.27474e+06
39200,1.6729e+06
39300,1.10237e+06
39400,1.17512e+06
39500,1.29343e+06
39600,1.4863e+06
39700,1.23575e+06
39800,1.08773e+06
39900,1.09126e+06
40000,1.14055e+06
40100,1.16471e+06
40200,1.08139e+06
40300,1.07407e+06
40400,1.16207e+06
40500,1.07539e+06
40600,1.08217e+06
40700,1.14898e+06
40800,1.45555e+06
40900,1.1736e+06
41000,1.1938e+06
41100,1.33773e+06
41200,1.41439e+06
41300,1.23367e+06
41400,1.11255e+06
41500,1.19819e+06
41600,1.52035e+06
41700,1.5471e+06
41800,1.19714e+06
41900,1.19573e+06
42000,1.33961e+06
42100,1.20478e+06
42200,1.4419e+06
42300,1.22466e+06
42400,1.19533e+06
42500,1.19494e+06
42600,1.38386e+06
42700,1.20457e+06
42800,1.25931e+06
42900,1.18288e+06
43000,1.17997e+06
43100,1.20635e+06
43200,1.23104e+06
43300,1.17579e+06
43400,1.21968e+06
43500,1.2324e+06
43600,1.24839e+06
43700,1.24146e+06
43800,1.89177e+06
43900,1.19155e+06
44000,1.42685e+06
44100,1.18738e+06
44200,1.26541e+06
44300,1.52722e+06
44400,1.30276e+06
44500,1.31545e+06
